"Self_employed","Org_size","Mental_ill","Is_tech","Benefits","Anonymity","Absence","Coworkers","Ment_phy","Age","Gender","US_state","Country","US_state_work"
"No","26-100","No","Yes","I don't know","Yes","Somewhat easy","Maybe","I don't know",30,"Male","","United Kingdom",""
"No","More than 1000","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes",55,"Male","","United Kingdom",""
"No","6-25","Yes","No","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",38,"Female","Massachusetts","United States of America","Massachusetts"
"No","6-25","No","Yes","I don't know","Yes","Somewhat easy","No","I don't know",20,"Male","","Canada",""
"No","100-500","Yes","Yes","No","I don't know","Neither easy nor difficult","No","I don't know",25,"Male","California","United States of America","California"
"Yes","","No",NA,"","","","","",22,"Male","","Spain",""
"Yes","","Yes",NA,"","","","","",35,"Male","","United Kingdom",""
"No","26-100","Yes","No","I don't know","I don't know","Very difficult","No","No",27,"Male","Indiana","United States of America","Indiana"
"No","6-25","Yes","No","No","I don't know","Somewhat easy","No","I don't know",24,"Male","Tennessee","United States of America","Tennessee"
"Yes","","Yes",NA,"","","","","",39,"Male","","Australia",""
"No","26-100","No","No","I don't know","I don't know","Neither easy nor difficult","No","Yes",29,"Male","","Brazil",""
"No","26-100","Yes","Yes","No","I don't know","Somewhat easy","Maybe","Yes",40,"Female","Texas","United States of America","Texas"
"No","1-5","Yes","Yes","No","No","Somewhat difficult","No","I don't know",30,"Male","Georgia","United States of America","Georgia"
"No","26-100","No","Yes","Yes","I don't know","Somewhat easy","Yes","No",32,"Male","","Canada",""
"Yes","","No",NA,"","","","","",34,"Male","","Germany",""
"No","6-25","Yes","Yes","Yes","Yes","Very easy","Maybe","Yes",35,"Female","","Canada",""
"Yes","","No",NA,"","","","","",30,"Male","Illinois","United States of America","Illinois"
"No","6-25","No","Yes","No","I don't know","I don't know","Maybe","No",36,"Male","","United Kingdom",""
"No","26-100","No","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","Yes",26,"Male","","Sweden",""
"No","500-1000","Yes","No","I don't know","I don't know","Somewhat easy","Yes","I don't know",31,"Female","","Netherlands",""
"No","26-100","No","No","Not eligible for coverage / N/A","Yes","Very easy","No","Yes",33,"Male","","South Africa",""
"Yes","","Yes",NA,"","","","","",30,"Male","","United Kingdom",""
"No","26-100","Yes","Yes","I don't know","I don't know","Somewhat easy","No","No",46,"Male","","United Kingdom",""
"No","100-500","Yes","Yes","No","I don't know","Neither easy nor difficult","Yes","I don't know",32,"Male","Colorado","United States of America","Colorado"
"No","100-500","No","Yes","Yes","I don't know","Very easy","Maybe","I don't know",34,"Male","Oregon","United States of America","Oregon"
"No","100-500","Yes","Yes","I don't know","I don't know","Somewhat easy","Maybe","I don't know",41,"Male","Tennessee","United States of America","Tennessee"
"No","100-500","No","Yes","I don't know","I don't know","Very easy","Yes","Yes",32,"Male","Wisconsin","United States of America","Wisconsin"
"No","More than 1000","Yes","No","Yes","I don't know","Somewhat difficult","No","I don't know",47,"Male","Pennsylvania","United States of America","New York"
"No","100-500","No","Yes","I don't know","I don't know","Very easy","No","Yes",29,"Male","Missouri","United States of America","Oregon"
"No","100-500","Yes","No","Yes","I don't know","I don't know","Yes","I don't know",36,"Male","California","United States of America","California"
"No","100-500","Yes","Yes","No","I don't know","Somewhat difficult","Maybe","No",32,"Male","Colorado","United States of America","California"
"No","100-500","No","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",29,"Male","California","United States of America","California"
"No","1-5","No","Yes","Not eligible for coverage / N/A","I don't know","Very easy","Yes","Yes",22,"Male","","United Kingdom",""
"No","More than 1000","Yes","Yes","Yes","Yes","Very easy","No","No",32,"Female","Florida","United States of America","Florida"
"No","More than 1000","No","No","Yes","I don't know","Neither easy nor difficult","No","I don't know",19,"Female","Florida","United States of America","Florida"
"No","6-25","No","Yes","No","Yes","Very easy","Yes","Yes",30,"Male","","South Africa",""
"No","6-25","Yes","Yes","I don't know","Yes","Somewhat easy","Maybe","Yes",32,"Others","Washington","United States of America","Washington"
"No","More than 1000","No","Yes","I don't know","I don't know","Somewhat easy","Maybe","Yes",22,"Male","California","United States of America","California"
"Yes","","No",NA,"","","","","",30,"Male","","Poland",""
"No","100-500","No","Yes","Yes","I don't know","I don't know","Maybe","I don't know",323,"Male","Oregon","United States of America","Oregon"
"No","6-25","No","Yes","No","I don't know","I don't know","Maybe","I don't know",33,"Male","","Slovakia",""
"No","6-25","Yes","Yes","No","I don't know","Very difficult","No","No",48,"Female","","United Kingdom",""
"No","More than 1000","No","Yes","No","I don't know","Somewhat difficult","No","No",45,"Male","","Germany",""
"No","26-100","Yes","Yes","I don't know","Yes","Very easy","Maybe","Yes",28,"Male","","United Kingdom",""
"No","100-500","No","Yes","I don't know","I don't know","Somewhat difficult","Maybe","I don't know",44,"Male","Oregon","United States of America","Oregon"
"No","6-25","No","Yes","No","I don't know","Somewhat difficult","No","No",31,"Male","Washington","United States of America","Washington"
"No","26-100","Yes","Yes","Yes","I don't know","Somewhat easy","Yes","Yes",31,"Female","Pennsylvania","United States of America","Pennsylvania"
"No","More than 1000","No","Yes","Yes","Yes","Very easy","Yes","Yes",29,"Male","New York","United States of America","New York"
"No","More than 1000","No","No","Yes","I don't know","I don't know","No","No",26,"Male","Texas","United States of America","Texas"
"No","100-500","Yes","No","Yes","I don't know","Neither easy nor difficult","Yes","Yes",35,"Female","Indiana","United States of America","Indiana"
"Yes","","No",NA,"","","","","",44,"Male","","Austria",""
"No","6-25","Yes","Yes","Yes","I don't know","I don't know","No","No",45,"Male","North Carolina","United States of America","North Carolina"
"No","6-25","Yes","No","Yes","I don't know","Somewhat easy","No","Yes",22,"Female","North Carolina","United States of America","North Carolina"
"No","100-500","No","Yes","Yes","I don't know","I don't know","Maybe","I don't know",34,"Male","Michigan","United States of America","Michigan"
"No","26-100","No","Yes","I don't know","I don't know","Somewhat easy","Maybe","Yes",35,"Male","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",39,"Male","Illinois","United States of America","Illinois"
"No","6-25","Yes","Yes","Not eligible for coverage / N/A","No","Somewhat difficult","No","I don't know",26,"Male","","Denmark",""
"Yes","","No",NA,"","","","","",41,"Male","Georgia","United States of America","Georgia"
"No","More than 1000","Yes","Yes","Not eligible for coverage / N/A","I don't know","Somewhat difficult","Maybe","I don't know",24,"Male","","Australia",""
"No","6-25","Yes","Yes","I don't know","Yes","Somewhat easy","Maybe","Yes",24,"Male","Louisiana","United States of America","Louisiana"
"No","26-100","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","I don't know",34,"Male","Florida","United States of America","Florida"
"No","26-100","No","Yes","No","I don't know","Very easy","Maybe","Yes",36,"Male","","Australia",""
"No","500-1000","Yes","No","Yes","I don't know","Somewhat difficult","No","I don't know",41,"Male","","Australia",""
"No","More than 1000","Yes","Yes","Not eligible for coverage / N/A","I don't know","Somewhat easy","Maybe","I don't know",21,"Male","South Carolina","United States of America","South Carolina"
"No","100-500","Yes","Yes","I don't know","No","Somewhat easy","Maybe","No",33,"Male","","Bangladesh",""
"No","More than 1000","No","Yes","I don't know","I don't know","Somewhat easy","Yes","I don't know",32,"Male","","India",""
"No","More than 1000","Yes","No","Yes","Yes","Neither easy nor difficult","Yes","I don't know",62,"Female","North Carolina","United States of America","North Carolina"
"No","26-100","Yes","No","Yes","I don't know","Somewhat difficult","Maybe","I don't know",37,"Male","Pennsylvania","United States of America","Pennsylvania"
"No","26-100","No","Yes","I don't know","I don't know","Somewhat easy","Yes","I don't know",32,"Male","South Dakota","United States of America","South Dakota"
"No","More than 1000","No","Yes","Yes","I don't know","Very difficult","Maybe","I don't know",31,"Male","Illinois","United States of America","Illinois"
"No","6-25","Yes","Yes","I don't know","I don't know","Neither easy nor difficult","No","I don't know",28,"Male","California","United States of America","California"
"Yes","","Yes",NA,"","","","","",48,"Female","Texas","United States of America","Texas"
"Yes","","Yes",NA,"","","","","",40,"Male","","United States of America","Minnesota"
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Maybe","Yes",29,"Male","","Norway",""
"No","26-100","No","No","Yes","I don't know","I don't know","Yes","I don't know",33,"Male","","Germany",""
"No","26-100","No","No","I don't know","I don't know","Somewhat easy","Maybe","Yes",27,"Male","","Finland",""
"No","26-100","No","No","Not eligible for coverage / N/A","No","Very easy","Maybe","No",24,"Male","","Australia",""
"Yes","","Yes",NA,"","","","","",28,"Male","","Netherlands",""
"No","1-5","No","Yes","Yes","No","Very easy","Yes","Yes",42,"Male","Maryland","United States of America","Maryland"
"No","26-100","No","Yes","No","I don't know","I don't know","Maybe","I don't know",28,"Male","","United Kingdom",""
"No","500-1000","Yes","Yes","I don't know","I don't know","Somewhat difficult","Maybe","No",40,"Male","","Canada",""
"No","More than 1000","Yes","Yes","Yes","I don't know","Very easy","No","I don't know",32,"Female","Washington","United States of America","Washington"
"Yes","","Yes",NA,"","","","","",33,"Male","Colorado","United States of America","Colorado"
"Yes","","Yes",NA,"","","","","",40,"Male","Washington","United States of America","Washington"
"No","6-25","Yes","Yes","Yes","Yes","Very easy","No","No",26,"Male","Kansas","United States of America","Kansas"
"No","100-500","Yes","Yes","I don't know","I don't know","Somewhat easy","Yes","I don't know",39,"Female","California","United States of America","California"
"No","500-1000","No","No","Not eligible for coverage / N/A","I don't know","Very easy","Yes","Yes",38,"Male","","United Kingdom",""
"No","More than 1000","No","Yes","Yes","I don't know","Very difficult","No","I don't know",34,"Male","Colorado","United States of America","Colorado"
"No","26-100","Yes","No","I don't know","I don't know","Very difficult","Yes","I don't know",44,"Male","","Netherlands",""
"Yes","","No",NA,"","","","","",54,"Male","","United Kingdom",""
"No","100-500","No","Yes","Yes","Yes","Very easy","Yes","Yes",24,"Male","","Pakistan",""
"No","6-25","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes",31,"Male","Minnesota","United States of America","Minnesota"
"No","More than 1000","Yes","Yes","Yes","No","Somewhat difficult","Maybe","No",47,"Male","Pennsylvania","United States of America","Pennsylvania"
"No","More than 1000","Yes","Yes","Not eligible for coverage / N/A","Yes","Very easy","Yes","Yes",30,"Male","","Australia",""
"Yes","","No",NA,"","","","","",34,"Male","Michigan","United States of America","Michigan"
"No","6-25","Yes","Yes","Yes","Yes","Very easy","Yes","I don't know",29,"Others","New York","United States of America","New York"
"No","More than 1000","No","Yes","Yes","I don't know","Very difficult","Maybe","No",27,"Male","Missouri","United States of America","Missouri"
"No","More than 1000","Yes","No","Yes","Yes","Neither easy nor difficult","No","I don't know",29,"Male","Michigan","United States of America","Michigan"
"Yes","","No",NA,"","","","","",43,"Female","Maryland","United States of America","Maryland"
"No","100-500","Yes","Yes","Yes","Yes","Somewhat difficult","Maybe","I don't know",31,"Others","Illinois","United States of America","Illinois"
"No","6-25","No","No","I don't know","I don't know","I don't know","No","No",27,"Male","","Norway",""
"No","6-25","Yes","Yes","No","No","Somewhat difficult","Maybe","I don't know",29,"Male","","United Kingdom",""
"No","6-25","No","Yes","Not eligible for coverage / N/A","I don't know","Somewhat easy","Maybe","I don't know",29,"Male","","United Kingdom",""
"No","More than 1000","Yes","Yes","Yes","I don't know","Somewhat difficult","Maybe","I don't know",42,"Male","New Hampshire","United States of America","Massachusetts"
"No","6-25","No","Yes","Yes","I don't know","Somewhat difficult","No","I don't know",26,"Female","Illinois","United States of America","Illinois"
"No","6-25","Yes","Yes","I don't know","I don't know","Very easy","Yes","Yes",26,"Male","","Switzerland",""
"Yes","","Yes",NA,"","","","","",34,"Male","","United Kingdom",""
"No","100-500","No","No","Yes","Yes","Somewhat difficult","No","Yes",24,"Male","Kansas","United States of America","Kansas"
"No","More than 1000","No","No","Yes","Yes","Somewhat difficult","No","Yes",25,"Male","Kansas","United States of America","Kansas"
"No","6-25","No","Yes","Yes","I don't know","Very easy","Maybe","Yes",22,"Male","Kansas","United States of America","Kansas"
"No","100-500","Yes","Yes","Yes","Yes","Neither easy nor difficult","Maybe","No",33,"Male","Illinois","United States of America","Illinois"
"No","26-100","No","Yes","Yes","I don't know","Very easy","Maybe","Yes",53,"Male","Arizona","United States of America","Arizona"
"No","26-100","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","No",32,"Male","","Canada",""
"No","6-25","Yes","Yes","No","I don't know","Neither easy nor difficult","Maybe","I don't know",32,"Male","Minnesota","United States of America","Minnesota"
"Yes","","No",NA,"","","","","",55,"Male","New York","United States of America","New York"
"No","6-25","No","Yes","I don't know","Yes","Somewhat difficult","Maybe","I don't know",27,"Male","","France",""
"No","6-25","No","Yes","Not eligible for coverage / N/A","I don't know","Somewhat easy","Maybe","Yes",34,"Male","","United Kingdom",""
"No","6-25","Yes","Yes","No","Yes","Somewhat difficult","Yes","I don't know",26,"Male","Colorado","United States of America","Colorado"
"No","26-100","Yes","Yes","I don't know","I don't know","Somewhat easy","Maybe","I don't know",25,"Male","Oregon","United States of America","Oregon"
"No","More than 1000","Yes","Yes","Yes","I don't know","Somewhat difficult","Yes","Yes",39,"Male","","United Kingdom",""
"No","26-100","No","Yes","I don't know","I don't know","Somewhat easy","No","I don't know",32,"Male","Kansas","United States of America","Kansas"
"Yes","","Yes",NA,"","","","","",46,"Male","","United Kingdom",""
"Yes","","No",NA,"","","","","",52,"Female","Oregon","United States of America","Oregon"
"No","500-1000","Yes","Yes","I don't know","I don't know","I don't know","No","No",33,"Others","","United Kingdom",""
"No","26-100","No","Yes","Yes","I don't know","I don't know","No","I don't know",58,"Male","Minnesota","United States of America","Minnesota"
"No","6-25","Yes","Yes","No","Yes","Very difficult","No","No",30,"Male","","Canada",""
"Yes","","No",NA,"","","","","",46,"Male","","Sweden",""
"No","More than 1000","Yes","No","I don't know","I don't know","I don't know","No","I don't know",45,"Male","Washington","United States of America","Washington"
"No","1-5","Yes","Yes","No","No","Very difficult","No","I don't know",26,"Female","","Canada",""
"No","100-500","Yes","Yes","Yes","Yes","I don't know","No","No",22,"Male","Pennsylvania","United States of America","Pennsylvania"
"No","6-25","No","Yes","I don't know","No","Somewhat easy","No","I don't know",21,"Male","Kansas","United States of America","Kansas"
"No","More than 1000","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","I don't know",3,"Male","","Canada",""
"No","500-1000","No","No","I don't know","Yes","I don't know","No","Yes",34,"Male","Kansas","United States of America","Kansas"
"No","26-100","No","Yes","I don't know","I don't know","Very easy","Maybe","Yes",25,"Female","Kansas","United States of America","Kansas"
"No","6-25","Yes","Yes","Yes","Yes","Very easy","Maybe","I don't know",27,"Male","Illinois","United States of America","Illinois"
"No","26-100","Yes","Yes","Yes","I don't know","Neither easy nor difficult","No","No",25,"Female","Washington","United States of America","Washington"
"No","500-1000","Yes","Yes","Yes","Yes","Neither easy nor difficult","Yes","I don't know",33,"Male","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",26,"Female","","Canada",""
"No","6-25","No","Yes","No","I don't know","Somewhat easy","Yes","I don't know",36,"Female","Oklahoma","United States of America","Oklahoma"
"No","6-25","No","Yes","No","I don't know","Neither easy nor difficult","No","I don't know",26,"Male","","United Kingdom",""
"No","6-25","No","Yes","Not eligible for coverage / N/A","I don't know","Neither easy nor difficult","Maybe","I don't know",34,"Male","Minnesota","United States of America","Minnesota"
"No","26-100","Yes","Yes","Yes","Yes","Somewhat difficult","Maybe","No",34,"Male","Oklahoma","United States of America","Oklahoma"
"No","More than 1000","Yes","No","Yes","Yes","Neither easy nor difficult","Maybe","No",25,"Male","Pennsylvania","United States of America","Pennsylvania"
"Yes","","No",NA,"","","","","",33,"Female","Illinois","United States of America","Illinois"
"No","26-100","No","Yes","No","No","Very difficult","Maybe","I don't know",27,"Female","","Canada",""
"No","26-100","No","Yes","I don't know","I don't know","Somewhat difficult","No","I don't know",24,"Female","","Canada",""
"No","More than 1000","Yes","No","Yes","I don't know","Somewhat difficult","No","I don't know",47,"Female","Washington","United States of America","Washington"
"No","26-100","No","Yes","Yes","Yes","Somewhat easy","Yes","Yes",37,"Male","Indiana","United States of America","Indiana"
"No","More than 1000","Yes","No","I don't know","I don't know","Neither easy nor difficult","Maybe","No",35,"Others","Illinois","United States of America","Illinois"
"No","100-500","Yes","No","Yes","Yes","Very difficult","No","I don't know",30,"Male","Pennsylvania","United States of America","Pennsylvania"
"No","More than 1000","No","No","Yes","Yes","Somewhat easy","No","Yes",42,"Male","Tennessee","United States of America","Tennessee"
"Yes","","Yes",NA,"","","","","",36,"Female","Indiana","United States of America","Indiana"
"No","100-500","No","Yes","Yes","Yes","Very easy","No","I don't know",31,"Male","Pennsylvania","United States of America","Pennsylvania"
"No","100-500","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","I don't know",28,"Female","Massachusetts","United States of America","Massachusetts"
"No","26-100","Yes","No","Yes","Yes","Neither easy nor difficult","Yes","I don't know",36,"Female","Indiana","United States of America","Indiana"
"No","6-25","Yes","Yes","Yes","Yes","Somewhat difficult","Maybe","I don't know",36,"Female","Tennessee","United States of America","Tennessee"
"No","26-100","Yes","No","I don't know","I don't know","I don't know","No","I don't know",32,"Male","","Canada",""
"Yes","","No",NA,"","","","","",42,"Male","Missouri","United States of America","Missouri"
"No","100-500","No","Yes","Yes","I don't know","Somewhat easy","No","I don't know",41,"Female","Colorado","United States of America","Colorado"
"No","26-100","No","No","Yes","I don't know","Somewhat easy","Maybe","Yes",36,"Male","","Sweden",""
"No","26-100","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","Yes",23,"Male","Wisconsin","United States of America","Wisconsin"
"No","More than 1000","Yes","No","Yes","Yes","Neither easy nor difficult","Maybe","Yes",54,"Female","Texas","United States of America","Texas"
"No","26-100","No","No","I don't know","Yes","Neither easy nor difficult","Yes","I don't know",34,"Female","Illinois","United States of America","Illinois"
"No","6-25","No","Yes","I don't know","I don't know","Very easy","Yes","I don't know",36,"Male","","Netherlands",""
"No","1-5","No","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","I don't know",27,"Male","Virginia","United States of America","Virginia"
"No","100-500","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","I don't know",32,"Male","Rhode Island","United States of America","Rhode Island"
"No","6-25","Yes","Yes","Yes","No","Very difficult","Maybe","No",21,"Male","","Germany",""
"No","1-5","No","Yes","I don't know","Yes","Somewhat easy","Yes","Yes",44,"Male","Michigan","United States of America","Michigan"
"No","26-100","No","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","Yes",33,"Male","Minnesota","United States of America","Minnesota"
"No","More than 1000","Yes","Yes","Yes","Yes","Very difficult","No","No",38,"Male","","United Kingdom",""
"No","More than 1000","No","Yes","Yes","I don't know","I don't know","Maybe","No",38,"Male","","Ireland",""
"Yes","","No",NA,"","","","","",38,"Female","Ohio","United States of America","Ohio"
"No","1-5","No","Yes","I don't know","No","Very difficult","No","No",22,"Female","","Brazil",""
"Yes","","Yes",NA,"","","","","",33,"Female","Florida","United States of America","Florida"
"No","More than 1000","No","No","I don't know","I don't know","Very difficult","No","No",27,"Female","","Canada",""
"Yes","","No",NA,"","","","","",55,"Female","Vermont","United States of America","Vermont"
"No","6-25","Yes","No","No","I don't know","Somewhat difficult","Yes","I don't know",66,"Male","Maine","United States of America","Maine"
"No","1-5","No","No","I don't know","I don't know","Very difficult","No","Yes",25,"Male","New Jersey","United States of America","New Jersey"
"No","26-100","No","Yes","Not eligible for coverage / N/A","I don't know","Neither easy nor difficult","Maybe","I don't know",22,"Male","","Netherlands",""
"No","26-100","No","Yes","No","I don't know","Somewhat easy","Yes","No",29,"Male","","Brazil",""
"No","100-500","No","Yes","No","No","Somewhat easy","No","I don't know",33,"Male","","New Zealand",""
"No","6-25","No","Yes","No","I don't know","Somewhat difficult","No","I don't know",27,"Male","","Sweden",""
"No","6-25","Yes","Yes","I don't know","I don't know","Somewhat difficult","No","I don't know",44,"Male","Tennessee","United States of America","Tennessee"
"Yes","","No",NA,"","","","","",38,"Male","","Bulgaria",""
"No","6-25","No","No","I don't know","I don't know","I don't know","No","I don't know",32,"Male","New Hampshire","United States of America","New Hampshire"
"No","500-1000","No","No","Yes","No","Very difficult","Maybe","No",59,"Female","Ohio","United States of America","Ohio"
"Yes","","No",NA,"","","","","",43,"Male","","Sweden",""
"Yes","","Yes",NA,"","","","","",55,"Female","","Germany",""
"No","More than 1000","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Yes","Yes",32,"Male","California","United States of America","California"
"No","More than 1000","No","No","Not eligible for coverage / N/A","I don't know","Very difficult","No","No",41,"Male","","United Kingdom",""
"No","1-5","Yes","Yes","No","I don't know","Very easy","Yes","Yes",38,"Female","Washington","United States of America","Washington"
"Yes","","Yes",NA,"","","","","",46,"Male","Colorado","United States of America","Colorado"
"No","More than 1000","Yes","No","No","Yes","Somewhat difficult","Yes","No",43,"Male","","United Kingdom",""
"No","100-500","Yes","Yes","Yes","Yes","Very easy","Maybe","Yes",29,"Female","Pennsylvania","United States of America","Pennsylvania"
"Yes","","No",NA,"","","","","",42,"Male","Missouri","United States of America","Missouri"
"No","100-500","No","Yes","I don't know","I don't know","Very easy","Yes","I don't know",25,"Female","Colorado","United States of America","Colorado"
"No","26-100","Yes","Yes","Yes","No","Somewhat easy","Maybe","Yes",49,"Male","","Afghanistan",""
"No","26-100","Yes","Yes","No","I don't know","I don't know","No","I don't know",36,"Male","","United States of America","Florida"
"Yes","","No",NA,"","","","","",30,"Male","","United Kingdom",""
"No","26-100","No","Yes","I don't know","I don't know","Somewhat difficult","Maybe","No",28,"Male","Oregon","United States of America","Oregon"
"No","More than 1000","Yes","No","I don't know","I don't know","Somewhat difficult","No","No",37,"Male","Texas","United States of America","Texas"
"No","6-25","Yes","No","Not eligible for coverage / N/A","Yes","Somewhat difficult","No","I don't know",23,"Female","Ohio","United States of America","Ohio"
"Yes","","No",NA,"","","","","",37,"Male","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",42,"Male","","Netherlands",""
"No","More than 1000","Yes","No","Yes","Yes","Neither easy nor difficult","Maybe","Yes",32,"Male","Minnesota","United States of America","Minnesota"
"No","1-5","No","Yes","No","I don't know","Somewhat difficult","No","I don't know",28,"Male","","Canada",""
"No","More than 1000","Yes","No","I don't know","I don't know","Neither easy nor difficult","No","I don't know",28,"Male","","United Kingdom",""
"No","More than 1000","Yes","Yes","Yes","I don't know","Somewhat easy","No","No",29,"Male","California","United States of America","California"
"No","100-500","Yes","Yes","I don't know","I don't know","I don't know","Yes","Yes",35,"Male","Georgia","United States of America","Georgia"
"Yes","","Yes",NA,"","","","","",31,"Female","Wisconsin","United States of America","Wisconsin"
"Yes","","Yes",NA,"","","","","",46,"Female","California","United States of America","California"
"Yes","","Yes",NA,"","","","","",19,"Male","Massachusetts","United States of America","Massachusetts"
"No","500-1000","No","Yes","Not eligible for coverage / N/A","Yes","Somewhat easy","Yes","Yes",35,"Male","","Sweden",""
"No","More than 1000","No","No","Yes","Yes","Somewhat easy","Yes","I don't know",31,"Male","","United Kingdom",""
"Yes","","No",NA,"","","","","",31,"Male","Florida","United States of America","Florida"
"No","More than 1000","No","Yes","Yes","Yes","Somewhat easy","Maybe","Yes",37,"Male","","Canada",""
"No","6-25","Yes","Yes","I don't know","Yes","Very easy","Yes","Yes",34,"Female","Oklahoma","United States of America","Oklahoma"
"No","26-100","Yes","Yes","Yes","I don't know","Very easy","Maybe","I don't know",39,"Female","California","United States of America","California"
"Yes","","No",NA,"","","","","",29,"Female","Washington","United States of America","Washington"
"No","100-500","Yes","Yes","Yes","I don't know","Somewhat difficult","No","I don't know",29,"Female","Pennsylvania","United States of America","Pennsylvania"
"No","More than 1000","No","Yes","Yes","Yes","Very easy","Yes","No",63,"Male","Maryland","United States of America","Maryland"
"Yes","","Yes",NA,"","","","","",45,"Male","","Australia",""
"Yes","","No",NA,"","","","","",35,"Male","","Greece",""
"Yes","","Yes",NA,"","","","","",32,"Male","","United Kingdom",""
"Yes","","No",NA,"","","","","",44,"Male","California","United States of America","California"
"No","More than 1000","Yes","No","No","I don't know","Very difficult","No","No",28,"Others","","United Kingdom",""
"Yes","","No",NA,"","","","","",39,"Male","","Ireland",""
"Yes","","No",NA,"","","","","",55,"Female","California","United States of America","California"
"Yes","","Yes",NA,"","","","","",33,"Female","Connecticut","United States of America","Connecticut"
"No","6-25","No","Yes","No","No","Very easy","Yes","Yes",19,"Male","","India",""
"No","More than 1000","No","Yes","Yes","Yes","Somewhat easy","No","No",40,"Male","California","United States of America","California"
"No","More than 1000","Yes","No","Yes","Yes","Very easy","Maybe","I don't know",49,"Female","Illinois","United States of America","Illinois"
"No","6-25","No","Yes","Not eligible for coverage / N/A","Yes","Very easy","Yes","Yes",27,"Female","","Australia",""
"No","More than 1000","Yes","No","Yes","Yes","Somewhat easy","No","No",39,"Male","Missouri","United States of America","Missouri"
"No","More than 1000","Yes","No","I don't know","Yes","Neither easy nor difficult","Yes","Yes",35,"Male","","United Kingdom",""
"No","26-100","No","Yes","I don't know","I don't know","I don't know","Maybe","I don't know",35,"Male","Texas","United States of America","Texas"
"No","26-100","Yes","Yes","Yes","I don't know","Very difficult","Maybe","No",42,"Female","Texas","United States of America","Texas"
"No","6-25","No","Yes","Yes","Yes","Very easy","Maybe","Yes",35,"Male","","Canada",""
"No","100-500","Yes","Yes","I don't know","I don't know","Somewhat difficult","Maybe","Yes",31,"Female","Texas","United States of America","Texas"
"Yes","","Yes",NA,"","","","","",44,"Male","","United Kingdom",""
"No","100-500","No","Yes","Yes","I don't know","I don't know","No","I don't know",39,"Male","Georgia","United States of America","Georgia"
"Yes","","No",NA,"","","","","",32,"Male","","Canada",""
"No","More than 1000","No","Yes","I don't know","I don't know","Somewhat easy","No","Yes",45,"Male","","New Zealand",""
"Yes","","No",NA,"","","","","",31,"Male","Texas","United States of America","Texas"
"Yes","","Yes",NA,"","","","","",47,"Female","New York","United States of America","New York"
"No","26-100","No","Yes","No","I don't know","Somewhat difficult","No","No",29,"Male","Maryland","United States of America","Maryland"
"No","6-25","Yes","Yes","Yes","I don't know","I don't know","Yes","Yes",20,"Male","New York","United States of America","Oklahoma"
"No","100-500","No","Yes","Not eligible for coverage / N/A","I don't know","Very difficult","Maybe","I don't know",34,"Male","Washington","United States of America","Washington"
"No","500-1000","Yes","Yes","Not eligible for coverage / N/A","Yes","Very easy","Yes","Yes",33,"Others","","United Kingdom",""
"Yes","","No",NA,"","","","","",56,"Female","Florida","United States of America","Florida"
"Yes","","No",NA,"","","","","",35,"Male","","Canada",""
"No","100-500","Yes","Yes","Yes","I don't know","I don't know","No","I don't know",31,"Male","California","United States of America","California"
"No","More than 1000","Yes","Yes","Yes","Yes","Very easy","Yes","I don't know",36,"Male","Texas","United States of America","Texas"
"No","100-500","No","Yes","Yes","No","Somewhat easy","No","I don't know",30,"Male","California","United States of America","California"
"No","More than 1000","Yes","No","Yes","Yes","Neither easy nor difficult","Maybe","No",44,"Female","Texas","United States of America","Texas"
"No","1-5","Yes","Yes","I don't know","I don't know","Somewhat easy","Maybe","Yes",23,"Female","Texas","United States of America","Texas"
"No","More than 1000","No","No","Yes","I don't know","I don't know","No","No",46,"Male","Missouri","United States of America","Missouri"
"No","100-500","Yes","Yes","Yes","I don't know","Very easy","Yes","No",33,"Female","Maine","United States of America","Maine"
"No","500-1000","Yes","No","Yes","Yes","Somewhat easy","Maybe","No",32,"Female","California","United States of America","California"
"Yes","","Yes",NA,"","","","","",45,"Male","","Other",""
"No","6-25","No","Yes","No","I don't know","Neither easy nor difficult","Yes","Yes",26,"Male","Illinois","United States of America","Illinois"
"Yes","","No",NA,"","","","","",32,"Female","New Mexico","United States of America","New Mexico"
"No","More than 1000","No","Yes","I don't know","I don't know","Very easy","Maybe","I don't know",28,"Male","Oregon","United States of America","Oregon"
